,AL NSA Value,AK NSA Value,AZ NSA Value,AR NSA Value,CA NSA Value,CO NSA Value,CT NSA Value,DE NSA Value,FL NSA Value,GA NSA Value,HI NSA Value,ID NSA Value,IL NSA Value,IN NSA Value,IA NSA Value,KS NSA Value,KY NSA Value,LA NSA Value,ME NSA Value,MD NSA Value,MA NSA Value,MI NSA Value,MN NSA Value,MS NSA Value,MO NSA Value,MT NSA Value,NE NSA Value,NV NSA Value,NH NSA Value,NJ NSA Value,NM NSA Value,NY NSA Value,NC NSA Value,ND NSA Value,OH NSA Value,OK NSA Value,OR NSA Value,PA NSA Value,RI NSA Value,SC NSA Value,SD NSA Value,TN NSA Value,TX NSA Value,UT NSA Value,VT NSA Value,VA NSA Value,WA NSA Value,WV NSA Value,WI NSA Value,WY NSA Value
count,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
mean,0.97092292381734,0.9461221922045013,0.9418130971046348,0.9728633215821296,0.9522235866689495,0.9493688143792629,0.9215758238478807,0.9607777103549463,0.9394640780432227,0.9588043623561007,0.9460893414510382,0.962347553037917,0.9536190816035475,0.9555373371545446,0.966139140877992,0.9710403537901311,0.9701223279874718,0.9584443589506155,0.9657148470563106,0.960030619672175,0.9630710930464936,0.8902282459317129,0.9671424334685961,0.9704952288752585,0.9730736201131116,0.9636375743256353,0.9657932782306743,0.889233057208969,0.9531445541428719,0.9531267858525839,0.9655552142211141,0.9646079181011916,0.9710941241821732,0.9154042894176965,0.9387206422484381,0.9442870550130192,0.9629324439054028,0.9680884015810429,0.9467820023215608,0.9742806618987596,0.9633161501459011,0.9710660122726962,0.9332826478748918,0.9575476175835789,0.9643064614365464,0.968340805294221,0.9645746867848282,0.966450215699712,0.9668172336077867,0.9463681337454563
std,0.023640838876782724,0.03645148731336944,0.023115467863045802,0.023427417371994268,0.0202520546196024,0.03063612912802322,0.04244883402610526,0.028527003100728667,0.02543777542438659,0.022196147772059256,0.02892531019150084,0.022781189947748755,0.030022101387562474,0.0278749627370169,0.027019061237005704,0.02446425052909118,0.02469059833050946,0.03247450945618641,0.02506306958900311,0.026558361716806443,0.022309500949977922,0.04405022678839913,0.018336987958978465,0.024306305983429078,0.020461003544663,0.03101753639526215,0.02623048311986781,0.039266075762640275,0.027358356838094757,0.031696281031252736,0.025167193169445046,0.026139486345429636,0.022982535242964987,0.04884230644718053,0.03349749035079146,0.03567749529482324,0.02515587663077221,0.025721497586115843,0.03268546154823981,0.021200877821029064,0.031461842650994665,0.023341423841417255,0.03891579098464628,0.030241356725179955,0.02788182128054965,0.02361004966006617,0.02314342462887328,0.02830137772589312,0.023504918267354444,0.038213117887616506
min,0.890289891212517,0.8056047420993211,0.87747548754202,0.8821823761382948,0.8887606238447405,0.8516279173155644,0.813271431199303,0.8794977405560496,0.8686674604648893,0.8822253580855574,0.8192417852946666,0.8856193948332515,0.8450756501195423,0.8786291581806188,0.8632854105688192,0.8760653349158954,0.8752644234031863,0.841723597973651,0.8853338495385612,0.8651097415495789,0.8981432362001871,0.7729859288557923,0.9018545817090021,0.8787711599208996,0.9098735625524168,0.8507956555421892,0.8726208086170102,0.7720229887742521,0.8780430768090464,0.8710374865944269,0.8780795484420899,0.8782444636230655,0.8873050925835998,0.7720229887742521,0.8423486748131852,0.8313443730598532,0.88147416311583,0.8777194867404619,0.8528075046665615,0.898160725354501,0.8460396131829581,0.8837764139825693,0.8255872798452649,0.8666428956828212,0.860451561549204,0.8683637890003643,0.8842201501998601,0.8559702837995038,0.8960674811459092,0.8034055875545123
25%,0.9562454678365893,0.9347907643241619,0.9310065652939392,0.9651529813502355,0.9435052598678385,0.9362239823911995,0.8920798994501814,0.9498762634835513,0.924597200629802,0.9503150886766442,0.936221655792608,0.9550856483263274,0.9431568276996458,0.936096363800901,0.9545192592550632,0.9619936170251268,0.9574053198513761,0.9447840195114303,0.9560958486440255,0.9508593159858175,0.9501914795068243,0.8731111632606527,0.964367831569994,0.9638361719370709,0.9649710899538186,0.9526339962040643,0.9518389306587929,0.870574801017425,0.9359037923324681,0.9369319803109466,0.9571715960614136,0.9538031628745516,0.957546422475364,0.8959885319156191,0.9192646598220331,0.9288030604785211,0.9563437982179179,0.958871913413213,0.9285693694045141,0.9627774715858771,0.9508908900147424,0.9601876322404054,0.9175733844795309,0.9433588294650723,0.957985498449421,0.962905506822278,0.9584189375483481,0.9556275433545273,0.9548643218071853,0.9323382879990213
50%,0.976099183475491,0.954779992357103,0.9439456421338757,0.9772711652346662,0.9519607491293012,0.9551991108388497,0.9201836706758866,0.9629535959690381,0.9379819481407234,0.960661398071714,0.9522649981427863,0.9678251794859138,0.9624042302587605,0.9574822304057538,0.9715263255467207,0.976854240254811,0.9756481151162234,0.9676858772527729,0.9703966388995741,0.9647406894075918,0.966702647429259,0.8854766221859063,0.9701665354307603,0.9761748249569325,0.9781262395773825,0.974574702009452,0.9714769158446037,0.8862177095643007,0.9575295442704379,0.9536682480094738,0.9724129518278418,0.969025184157239,0.9776315846004907,0.924245964516478,0.9374461173164373,0.9539067509634185,0.9680324064894966,0.9739753604303705,0.9505964310114479,0.9809989231773857,0.9741890227840346,0.9763090266109721,0.9363071112625592,0.9639292774234276,0.9716502067862258,0.9735226772815405,0.9692279451859696,0.9743395314731458,0.9709283406386773,0.9568022233525435
75%,0.9865279112303904,0.9659580728457667,0.9516088629915034,0.989854365823533,0.9645359268199093,0.969402327503207,0.9543445632673935,0.9801171249445642,0.9538670653683021,0.9749207178699553,0.9632471245627683,0.9741636196617992,0.9738985401847112,0.98067496551666,0.9867395679078514,0.9887768199463843,0.9908649190369301,0.9773849196484247,0.9826093334898618,0.9738705463376047,0.9785950828036796,0.9159326088230846,0.9784398263618066,0.9873137635414173,0.9875232898890985,0.9836586869681615,0.9855319565463545,0.9060027405508017,0.9744856313158494,0.9754106491391539,0.9820001697494278,0.9816032232358403,0.987216186716533,0.9502487982572938,0.9643391276892076,0.9674268212444229,0.9779639119786572,0.9859108384459807,0.9728094756159856,0.9881795616239089,0.9840073214798527,0.9882914624889529,0.9629936947351727,0.9791399746104894,0.9815465811197892,0.9803520343614027,0.976261444919931,0.9847314396793839,0.9854628099956366,0.9677305554381649
max,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
