,AL NSA Value,AK NSA Value,AZ NSA Value,AR NSA Value,CA NSA Value,CO NSA Value,CT NSA Value,DE NSA Value,FL NSA Value,GA NSA Value,HI NSA Value,ID NSA Value,IL NSA Value,IN NSA Value,IA NSA Value,KS NSA Value,KY NSA Value,LA NSA Value,ME NSA Value,MD NSA Value,MA NSA Value,MI NSA Value,MN NSA Value,MS NSA Value,MO NSA Value,MT NSA Value,NE NSA Value,NV NSA Value,NH NSA Value,NJ NSA Value,NM NSA Value,NY NSA Value,NC NSA Value,ND NSA Value,OH NSA Value,OK NSA Value,OR NSA Value,PA NSA Value,RI NSA Value,SC NSA Value,SD NSA Value,TN NSA Value,TX NSA Value,UT NSA Value,VT NSA Value,VA NSA Value,WA NSA Value,WV NSA Value,WI NSA Value,WY NSA Value
IL NSA Value,0.9851484025170621,0.9189765615740224,0.9163270988586099,0.9801215767806555,0.9284921453856945,0.956507797116753,0.9154649376592985,0.9509825634338887,0.9104287114334834,0.9808594284286615,0.9235949341666283,0.9575736023715253,0.971840986780035,1.0,0.9846146465778456,0.982724753191397,0.9927480681000391,0.9431384121635917,0.9560787788719521,0.9358265717957133,0.9603125797084132,0.9573908584399823,0.9701572712792342,0.9775817810564269,0.986702894822229,0.9511579457407643,0.9890516448302632,0.8786291581806188,0.9421177640891456,0.9369057398164643,0.964855494745308,0.9546578965786453,0.9889395455248784,0.8959622155055225,0.9927387735682228,0.9319182562030934,0.9569714739196853,0.9660864749410341,0.9343796907391725,0.9844306855052467,0.9660857861505606,0.9829021477458535,0.9216949967303304,0.9604066249587848,0.9529582100880442,0.9473074017405291,0.9589679133417879,0.9688367856727726,0.9859994655713032,0.919309403326043
IN NSA Value,0.9868073045510423,0.9618072897022923,0.9271893665592522,0.9908593577689567,0.9417456482353569,0.9756046531801289,0.9041051133869118,0.9578190022791137,0.921276376863131,0.9648465998734136,0.9478620070161548,0.9727133171510626,0.9626338730213739,0.9846146465778456,1.0,0.9958370341264211,0.9957073084039123,0.9790627132832153,0.9647411578335257,0.953419344913713,0.9636489675908833,0.9136259842979382,0.9786762112276053,0.9883999273649333,0.9865363579782792,0.9848513823394128,0.995673575965474,0.8632854105688192,0.9437889785416627,0.9441235323341243,0.9763485408852869,0.9627856463447888,0.9873437236270539,0.9436402405845927,0.9641077026284041,0.9664427866165115,0.9805979732806254,0.9752505202148495,0.9324594301306333,0.9875659024969001,0.9914389135440997,0.9895356362731371,0.9506061881734326,0.9809028117452969,0.9703393339423788,0.9684936071143534,0.9762513715988527,0.9930657466413538,0.9891538121179023,0.9693647130031969
KS NSA Value,0.98945674253684,0.9697174652542666,0.9399909088247451,0.9948019739027324,0.9519736322769636,0.9815321796362337,0.9175565486291245,0.9624028199768366,0.9337868381473964,0.9749303828202858,0.9492597788508707,0.9761962079575659,0.9621303323497066,0.982724753191397,0.9958370341264211,1.0,0.9956904823397223,0.9856333379254727,0.9731036411719185,0.958470667531862,0.9750729275175435,0.9122075028998797,0.9838943667684409,0.9917545740196814,0.9918363072561999,0.9855102357757591,0.9968346412493284,0.8760653349158954,0.9586742250191516,0.9530055448302498,0.9803697546543613,0.9715315873205144,0.9916064301010287,0.9455548270340215,0.9619480452502669,0.9775122725520561,0.9810456633488619,0.978309497095808,0.9424263922032488,0.9930998594059331,0.9914986707168327,0.9945327343885987,0.9646620925201715,0.983041849995207,0.9736679215774365,0.9737909519008191,0.9799373423543403,0.9904314423084185,0.9867370521750175,0.9702619149011273
KY NSA Value,0.994186994553212,0.9550172260390373,0.9314535664273884,0.9944779231678201,0.9464719740538199,0.9706201723003816,0.9281878688736602,0.9694046862615793,0.9267628576087018,0.9777728413038512,0.9511698701710176,0.9726687766401036,0.9722537337178344,0.9927480681000391,0.9957073084039123,0.9956904823397223,1.0,0.972124268722657,0.9758460082127045,0.9597460695322172,0.9751183332553769,0.9263554844864699,0.9801448902810574,0.992133331136964,0.9934604383389595,0.9780920288512768,0.9960574190708663,0.8752644234031863,0.9581826767559227,0.9571462008831939,0.9820275092774305,0.975153451220446,0.996398561673644,0.931360999773165,0.9764203263213443,0.9595096638688098,0.9754502220197423,0.9843872456752488,0.9484382195348554,0.995019993646406,0.9870467151550008,0.9943334801773398,0.9471910630065812,0.9765225875925269,0.9773259821901692,0.9725796570855567,0.9762648026936239,0.9888236951500974,0.9915453269992076,0.9560509734194611
LA NSA Value,0.9709321743090057,0.9935561214340801,0.9367493085603316,0.984871456299524,0.9416905238335186,0.9681413285928552,0.8923001614595788,0.9497208415549457,0.9273273847990375,0.9384007855990463,0.9544105466731195,0.9706092509643378,0.9293927917405125,0.9431384121635917,0.9790627132832153,0.9856333379254727,0.972124268722657,1.0,0.9570403676002585,0.9556902254914745,0.9511129821682924,0.841723597973651,0.962111346501096,0.9817322749443302,0.9672304259126906,0.9912310693443334,0.9768141815436628,0.8515907878514012,0.9357273999832476,0.9396709718623498,0.9772331176740902,0.9573703865102989,0.9684333340861563,0.9627225241923695,0.9102379273764521,0.9941185611044178,0.9767479634835576,0.9659561394186014,0.9180709277742575,0.9746341378304388,0.986440537162582,0.9774355203065362,0.9720539619486063,0.9792035864978169,0.9668674656901577,0.9720006295136271,0.97194807185215,0.9874624935092055,0.9606785182527035,0.9928651042551269
MA NSA Value,0.9800618472165896,0.9491785317501217,0.9447512321068523,0.9801849394367309,0.9699357285060108,0.9399988663489396,0.974150031271052,0.9919970141443054,0.949928764152948,0.9643022539235431,0.9629264883191,0.9561470579602455,0.9695260371238381,0.9560787788719521,0.9647411578335257,0.9731036411719185,0.9758460082127045,0.9570403676002585,1.0,0.9878102464794112,0.9940242601290556,0.8853338495385612,0.9766315907069396,0.9778766473769478,0.9836111392619059,0.964239677762342,0.96198393928049,0.8920339381282654,0.9912944885263136,0.991847712324016,0.9750961096381896,0.9989528967781082,0.9799673117392386,0.9141721084672234,0.9408451912640104,0.9369283181272566,0.9561898852592039,0.9939326619211738,0.9878948683406518,0.9834174648409054,0.9645837781928182,0.9750438344509984,0.9273596122453078,0.9444461716753552,0.9945950472011702,0.9922975862497233,0.9642281070673295,0.9708575492931373,0.9726770491281356,0.94567056547071
MD NSA Value,0.9731378257032335,0.9503210213469302,0.9641574343897534,0.9725050951945723,0.975004728398914,0.9189029227318697,0.9648369225868315,0.9944198399317713,0.968430900928988,0.9490226935200324,0.9653196766750134,0.9613310691716449,0.9721831160482839,0.9358265717957133,0.953419344913713,0.958470667531862,0.9597460695322172,0.9556902254914745,0.9878102464794112,1.0,0.9741147865490618,0.8651097415495789,0.9726601190768287,0.9720728356411075,0.9727055527109633,0.9629919395598545,0.9446659507337656,0.9174340205787697,0.9765474086266439,0.9920429674205334,0.9787714982760565,0.9870758712283294,0.9646444562283523,0.8971108254998074,0.9232787477405305,0.9301593819317346,0.9586134186938222,0.9867346403629026,0.9852892715348445,0.9724663971920345,0.9496825243637547,0.9582458476447728,0.9053668412231709,0.9399577161836906,0.9879395259533564,0.9963019847064052,0.961547739609163,0.9665154167714365,0.96847298374276,0.9524741999024794
ME NSA Value,0.9745679749306545,0.941470812307099,0.944680447034248,0.9763554482643314,0.9707291986779695,0.950850699174734,0.9667046765606685,0.9788661001881541,0.9500615649520507,0.9749210742333231,0.9445210675566673,0.9485819839022827,0.9667006182978495,0.9603125797084132,0.9636489675908833,0.9750729275175435,0.9751183332553769,0.9511129821682924,0.9940242601290556,0.9741147865490618,1.0,0.9093124115569836,0.9833758834631808,0.973049267362603,0.9863159361938393,0.9546923868713412,0.9660170554024928,0.8981432362001871,0.995528724774846,0.9828701660926907,0.9627495404313389,0.992363310217174,0.9777820306502558,0.9094769618680965,0.9489965328411178,0.9363664011847288,0.9505812231711446,0.981637899187598,0.9838185743382453,0.9807103031422505,0.9618332100431093,0.974518414528756,0.9329818541786349,0.9408142168014461,0.9811244455155795,0.9819143935401571,0.9582359456172015,0.9618998410819806,0.9717228822033308,0.932305100865702
MI NSA Value,0.9167014836648,0.8056047420993211,0.8842322892978907,0.9025418344161614,0.8887606238447405,0.8937307747549277,0.8631454119395066,0.8794977405560496,0.8831436074918686,0.9589392266732435,0.8192417852946666,0.8856193948332515,0.9429316599694645,0.9573908584399823,0.9136259842979382,0.9122075028998797,0.9263554844864699,0.841723597973651,0.8853338495385612,0.8651097415495789,0.9093124115569836,1.0,0.9365752549787972,0.9014226498437059,0.9379134264483595,0.8507956555421892,0.9246876693635149,0.8994805321289626,0.8977885826106927,0.8733794748503277,0.8780795484420899,0.8782444636230655,0.9219046215529182,0.7729859288557923,0.9785122032352349,0.8313443730598532,0.8831079473813677,0.8804859004237783,0.8941238769653342,0.9176659992462538,0.8730217260640944,0.9091188401581932,0.8255872798452649,0.8784679068677276,0.860451561549204,0.8683637890003643,0.8842201501998601,0.8771557488506194,0.9379715923646275,0.8034055875545123
MN NSA Value,0.9795035606080373,0.9451571517179362,0.9648709722469241,0.9804164540593187,0.9747334090214879,0.9633534703434239,0.9364810225973099,0.9701757995822862,0.9665898124923709,0.9829940901738464,0.9342092316175963,0.9679715885753669,0.9812825129317811,0.9701572712792342,0.9786762112276053,0.9838943667684409,0.9801448902810574,0.962111346501096,0.9766315907069396,0.9726601190768287,0.9833758834631808,0.9365752549787972,1.0,0.9789994841223952,0.992882552006887,0.9643516856346112,0.9772202237128602,0.9279067830320025,0.9774241482682642,0.9690451225687792,0.968092966536609,0.9720730090618368,0.9777306717644108,0.9018545817090021,0.964416269376142,0.9485224759977046,0.9707583516665114,0.9700406087710943,0.9703493138915555,0.9835786382444501,0.9648544644600517,0.9751825329154079,0.9310590238689981,0.9596061961747743,0.9661029745930945,0.9776069175825552,0.9698138366504445,0.9697829063295687,0.9893213177719001,0.9465786064670211
